point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ns_001_57,main_ns_001,57,42.27033673903458,-71.07363349999999,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_58,main_ns_001,58,42.27043644918036,-71.07363349999999,False,0.0,0.0,0.0,0.2,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_59,main_ns_001,59,42.2705361591684,-71.07363349999999,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_60,main_ns_001,60,42.27063586899873,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_61,main_ns_001,61,42.270735578671314,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_62,main_ns_001,62,42.27083528818618,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_63,main_ns_001,63,42.2709349975433,-71.07363349999999,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_64,main_ns_001,64,42.2710347067427,-71.07363349999999,False,0.6666666666666666,0.8,0.8888888888888888,0.9333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_65,main_ns_001,65,42.27113441578437,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_66,main_ns_001,66,42.271199,-71.07363349999999,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
